                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8695,                0.75198,                0.88168,                0.92484,                0.88818,                0.93433,                0.43788,                 1.7877,                0.73862,                0.86998,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.8699,                0.74899,                 0.8733,                0.93651,                0.88499,                0.93538,                0.44051,                 1.7925,                0.75938,                0.87315,               0.001307,               0.001307,               0.001307
                     37,                 1.8669,                0.74807,                0.87791,                0.92945,                0.90025,                0.93837,                0.45093,                 1.7707,                0.75038,                0.87238,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.8435,                0.75185,                0.88211,                0.93327,                0.88884,                0.93808,                0.45328,                  1.763,                0.74476,                0.86967,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.8516,                0.74301,                0.87906,                0.91022,                0.91675,                0.94464,                0.44341,                 1.7722,                0.72134,                0.86919,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.8596,                0.74691,                0.87243,                0.94043,                0.90231,                 0.9393,                 0.4573,                 1.7616,                0.74799,                0.87289,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.8652,                0.74261,                0.87589,                0.93259,                0.87729,                0.93184,                0.45079,                 1.7324,                0.73428,                0.86649,               0.001208,               0.001208,               0.001208
                     42,                 1.8373,                0.72831,                0.87705,                0.92652,                0.89317,                0.93941,                0.45815,                 1.7323,                0.72973,                0.86763,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.8513,                0.74264,                 0.8759,                0.93006,                 0.9087,                0.94879,                0.46017,                 1.7391,                0.71135,                0.86952,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.8355,                0.73365,                0.87613,                0.92227,                0.90616,                 0.9471,                0.46288,                 1.7252,                0.69934,                0.86535,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.8299,                0.72349,                0.87214,                0.92665,                0.90327,                0.94317,                0.47208,                 1.7143,                0.71347,                0.86357,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.8146,                0.72471,                0.87098,                0.92581,                0.87921,                0.92634,                 0.4448,                 1.7815,                0.77522,                0.87375,               0.001109,               0.001109,               0.001109
                     47,                  1.849,                0.74318,                 0.8755,                0.93328,                0.90808,                0.94313,                0.44661,                 1.7787,                0.73066,                0.87116,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.8048,                0.72081,                0.87362,                0.91951,                0.90714,                0.94676,                0.46308,                 1.7303,                0.71091,                0.86202,              0.0010694,              0.0010694,              0.0010694
                     49,                  1.818,                0.72209,                0.87158,                0.92701,                0.89235,                0.93983,                0.44787,                 1.7621,                0.72616,                0.86775,              0.0010496,              0.0010496,              0.0010496
                     50,                  1.814,                0.72974,                0.87187,                0.94016,                0.90905,                0.94838,                0.46245,                 1.7182,                0.70975,                0.86483,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.7991,                0.71523,                0.86956,                0.93621,                0.89704,                0.94546,                0.46679,                 1.7264,                0.70187,                0.86308,                0.00101,                0.00101,                0.00101
                     52,                  1.801,                0.72554,                0.87267,                 0.9252,                0.89289,                0.93702,                 0.4644,                 1.7347,                0.74222,                0.86571,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.8074,                0.71837,                0.87051,                0.93255,                0.89819,                0.94506,                 0.4607,                 1.7321,                0.71584,                0.86566,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.8069,                0.72015,                0.87051,                0.92186,                0.91405,                0.94478,                0.46375,                 1.7092,                0.69533,                0.86426,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.7938,                0.70755,                0.87107,                 0.9278,                0.89413,                0.93763,                 0.4416,                 1.7581,                0.72556,                0.87066,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.8056,                0.72719,                0.86928,                0.93112,                 0.8999,                0.94121,                0.46408,                 1.7215,                0.71185,                0.86611,               0.000911,               0.000911,               0.000911
                     57,                 1.7951,                0.71627,                0.87316,                0.93094,                 0.9129,                0.94825,                0.45356,                 1.7473,                0.70574,                0.86658,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.785,                0.70795,                0.86949,                0.92997,                 0.8898,                0.93964,                0.46589,                 1.6922,                0.71736,                0.86419,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.7747,                0.70473,                0.86615,                 0.9377,                 0.9272,                0.95347,                0.47034,                 1.7324,                0.70978,                0.86458,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.7761,                0.70485,                0.87073,                0.93033,                0.91193,                0.94667,                0.47389,                  1.709,                0.70204,                0.86275,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.7609,                0.70005,                0.86663,                0.93121,                0.91851,                0.95295,                0.47091,                 1.7106,                0.69848,                0.86393,               0.000812,               0.000812,               0.000812
                     61,                 1.7609,                0.70005,                0.86663,                0.93121,                0.91851,                0.95295,                0.47091,                 1.7106,                0.69848,                0.86393,               0.000812,               0.000812,               0.000812
                     62,                 1.7832,                0.70473,                0.86308,                0.93032,                0.92518,                0.95508,                0.47613,                 1.7115,                0.68685,                0.86422,              0.0007922,              0.0007922,              0.0007922
                     62,                 1.7832,                0.70473,                0.86308,                0.93032,                0.92518,                0.95508,                0.47613,                 1.7115,                0.68685,                0.86422,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.7685,                0.70003,                0.86768,                0.93443,                0.91206,                0.94964,                0.47152,                 1.7342,                0.69317,                0.86356,              0.0007724,              0.0007724,              0.0007724
                     63,                 1.7685,                0.70003,                0.86768,                0.93443,                0.91206,                0.94964,                0.47152,                 1.7342,                0.69317,                0.86356,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.7599,                0.69433,                0.86681,                0.93632,                 0.9198,                0.95557,                0.47283,                  1.735,                0.69116,                0.86354,              0.0007526,              0.0007526,              0.0007526
                     64,                 1.7599,                0.69433,                0.86681,                0.93632,                 0.9198,                0.95557,                0.47283,                  1.735,                0.69116,                0.86354,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.7743,                0.70208,                0.86888,                0.94332,                0.91296,                0.95034,                0.45848,                 1.7365,                 0.7028,                0.86482,              0.0007328,              0.0007328,              0.0007328
                     65,                 1.7743,                0.70208,                0.86888,                0.94332,                0.91296,                0.95034,                0.45848,                 1.7365,                 0.7028,                0.86482,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.7641,                0.69802,                0.86316,                0.93049,                0.92119,                0.95059,                  0.474,                 1.7135,                0.69977,                0.86318,               0.000713,               0.000713,               0.000713
                     66,                 1.7641,                0.69802,                0.86316,                0.93049,                0.92119,                0.95059,                  0.474,                 1.7135,                0.69977,                0.86318,               0.000713,               0.000713,               0.000713
                     67,                 1.7714,                 0.6945,                0.86603,                0.93809,                0.91874,                0.95333,                0.46786,                 1.7153,                0.68876,                  0.862,              0.0006932,              0.0006932,              0.0006932
                     67,                 1.7714,                 0.6945,                0.86603,                0.93809,                0.91874,                0.95333,                0.46786,                 1.7153,                0.68876,                  0.862,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.7653,                0.69607,                0.86449,                0.93671,                0.93306,                0.95593,                0.46631,                 1.7408,                0.70386,                0.86557,              0.0006734,              0.0006734,              0.0006734
                     68,                 1.7653,                0.69607,                0.86449,                0.93671,                0.93306,                0.95593,                0.46631,                 1.7408,                0.70386,                0.86557,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.7819,                0.70217,                0.86487,                0.91565,                0.90892,                0.94165,                0.47154,                 1.7094,                0.70592,                0.86169,              0.0006536,              0.0006536,              0.0006536
                     69,                 1.7819,                0.70217,                0.86487,                0.91565,                0.90892,                0.94165,                0.47154,                 1.7094,                0.70592,                0.86169,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.7474,                 0.6896,                0.86471,                0.93138,                0.91451,                0.94631,                0.47125,                 1.7429,                0.70199,                0.86691,              0.0006338,              0.0006338,              0.0006338
                     70,                 1.7474,                 0.6896,                0.86471,                0.93138,                0.91451,                0.94631,                0.47125,                 1.7429,                0.70199,                0.86691,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.7449,                0.68932,                0.86361,                0.92402,                0.91302,                0.94824,                0.46724,                 1.7458,                0.68998,                0.86434,               0.000614,               0.000614,               0.000614
                     71,                 1.7449,                0.68932,                0.86361,                0.92402,                0.91302,                0.94824,                0.46724,                 1.7458,                0.68998,                0.86434,               0.000614,               0.000614,               0.000614
                     72,                 1.7339,                0.68495,                0.86371,                0.93729,                0.91338,                 0.9497,                0.47671,                 1.7196,                0.68248,                0.86377,              0.0005942,              0.0005942,              0.0005942
                     72,                 1.7339,                0.68495,                0.86371,                0.93729,                0.91338,                 0.9497,                0.47671,                 1.7196,                0.68248,                0.86377,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.7278,                0.68669,                0.86578,                0.91307,                0.90483,                0.94298,                0.46104,                 1.7495,                0.69326,                0.86715,              0.0005744,              0.0005744,              0.0005744
                     73,                 1.7278,                0.68669,                0.86578,                0.91307,                0.90483,                0.94298,                0.46104,                 1.7495,                0.69326,                0.86715,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.7285,                0.68775,                0.86225,                0.90935,                0.90808,                0.94521,                0.46364,                 1.7432,                0.69665,                0.86519,              0.0005546,              0.0005546,              0.0005546
